epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1188.2,1.49357,2.15994,1.09869,1.15167,0.86175,0.74468,0.86539,0.45976,0.75967,0.7234,0.72158,0.19414,1.50978,2.27819,1.13943,1.19284,0.0012674,0.0012674,0.0012674
76,1203.85,1.57902,2.33815,1.17466,1.19261,0.86606,0.73404,0.86734,0.48426,0.74136,0.69149,0.68208,0.21348,1.48526,2.24706,1.15118,1.20605,0.0012575,0.0012575,0.0012575
77,1220.33,1.45758,2.21015,1.15786,1.17951,0.86606,0.73404,0.86734,0.48426,0.74136,0.69149,0.68208,0.21348,1.48526,2.24706,1.15118,1.20605,0.0012476,0.0012476,0.0012476
78,1237.18,1.46885,2.21138,1.04977,1.1533,0.86606,0.73404,0.86734,0.48426,0.74136,0.69149,0.68208,0.21348,1.48526,2.24706,1.15118,1.20605,0.0012377,0.0012377,0.0012377
79,1255.54,1.54082,2.21058,1.05341,1.12532,0.83051,0.78723,0.88337,0.50801,0.73256,0.70213,0.69143,0.21389,1.4591,2.18195,1.145,1.20186,0.0012278,0.0012278,0.0012278
80,1272.41,1.4821,2.26587,1.19766,1.20178,0.83051,0.78723,0.88337,0.50801,0.73256,0.70213,0.69143,0.21389,1.4591,2.18195,1.145,1.20186,0.0012179,0.0012179,0.0012179
81,1289.28,1.47844,2.17789,1.25461,1.22256,0.85006,0.79787,0.88306,0.50172,0.77957,0.73404,0.70119,0.21545,1.44722,2.16745,1.08979,1.19212,0.001208,0.001208,0.001208
82,1308.44,1.55935,2.29757,1.10096,1.16785,0.85006,0.79787,0.88306,0.50172,0.77957,0.73404,0.70119,0.21545,1.44722,2.16745,1.08979,1.19212,0.0011981,0.0011981,0.0011981
83,1326.23,1.47766,2.20293,1.0953,1.15091,0.85006,0.79787,0.88306,0.50172,0.77957,0.73404,0.70119,0.21545,1.44722,2.16745,1.08979,1.19212,0.0011882,0.0011882,0.0011882
84,1343.23,1.45853,2.11544,1.11318,1.17654,0.86268,0.80851,0.88015,0.49457,0.73129,0.71277,0.6398,0.2041,1.46811,2.22894,1.09197,1.19023,0.0011783,0.0011783,0.0011783
85,1360.88,1.54335,2.27864,1.09178,1.14,0.86268,0.80851,0.88015,0.49457,0.73129,0.71277,0.6398,0.2041,1.46811,2.22894,1.09197,1.19023,0.0011684,0.0011684,0.0011684
86,1377.48,1.45527,2.27881,1.20093,1.17541,0.86268,0.80851,0.88015,0.49457,0.73129,0.71277,0.6398,0.2041,1.46811,2.22894,1.09197,1.19023,0.0011585,0.0011585,0.0011585
